,City,Latitude,Longitude,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country Code,Date
0,Rikitea,-23.1203,-134.9692,73.53,71,0,14.0,PF,1632235966
1,Kankaanpää,61.8,22.4167,48.96,55,34,1.79,FI,1632235966
2,Bima,-8.4667,118.7167,76.86,84,90,1.68,ID,1632235967
3,Geraldton,-28.7667,114.6,52.21,87,0,5.75,AU,1632235967
4,Hobart,-42.8794,147.3294,53.46,76,98,4.0,AU,1632235968
5,Trairi,-3.2778,-39.2689,88.66,48,74,15.48,BR,1632235882
6,Sola,-13.8833,167.55,78.66,78,66,15.57,VU,1632235968
7,Hualmay,-11.0964,-77.6139,65.79,72,37,8.41,PE,1632235969
8,Kirakira,-10.4544,161.9205,78.06,88,26,6.67,SB,1632235969
9,New Norfolk,-42.7826,147.0587,53.1,72,100,5.99,AU,1632235970
10,Kapaa,22.0752,-159.319,77.32,90,40,13.8,US,1632235970
11,Quixeramobim,-5.1992,-39.2928,94.77,31,25,7.83,BR,1632235970
12,Yellowknife,62.456,-114.3525,43.32,93,75,18.41,CA,1632235971
13,Faya,18.3851,42.4509,73.51,36,85,2.75,SA,1632235971
14,Flinders,-34.5833,150.8552,51.21,70,31,11.48,AU,1632235972
15,Sitka,57.0531,-135.33,55.29,88,90,16.11,US,1632235972
16,Airai,-8.9266,125.4092,60.01,80,100,3.47,TL,1632235972
17,Rawson,-43.3002,-65.1023,67.51,25,0,13.8,AR,1632235973
18,Vaini,-21.2,-175.2,69.96,88,40,8.05,TO,1632235973
19,Ahipara,-35.1667,173.1667,57.83,91,100,11.14,NZ,1632235974
20,Kysyl-Syr,63.8986,122.7617,37.72,84,94,8.72,RU,1632235974
21,Chui,-33.6971,-53.4616,57.97,64,2,15.9,UY,1632235975
22,Tautira,-17.7333,-149.15,73.42,76,16,10.74,PF,1632235975
23,Nova Esperanca,4.438,-61.1151,82.58,60,91,6.02,BR,1632235976
